time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,characteristic_grouping,pupil_characteristic,setting_type,pupils
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E06000004,Stockton-on-Tees,808,Placement Reason,Other,Other unregistered provider,7
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000016,Leicester,856,Placement Reason,Medical condition (mental health need),Registered provider with UKPRN,7
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000058,"Bournemouth, Christchurch and Poole",839,Placement Reason,Off-site placement for behavioural support,Work based placement,2
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000035,Leeds,383,Placement Reason,Medical condition (physical health need),Other unregistered provider,1
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000010,Wigan,359,Placement Reason,Other,Education setting with URN,6
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000025,Birmingham,330,Placement Reason,Medical condition (mental health need),One on one tuition,1
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,394,Placement Reason,Medical condition (physical health need),Education setting with URN,4
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E10000012,Essex,881,Placement Reason,Other,Registered provider with UKPRN,16
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E06000021,Stoke-on-Trent,861,Placement Reason,Off-site placement for behavioural support,Education setting with URN,21
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000039,Slough,871,Placement Reason,Medical condition (physical health need),Education setting with URN,1
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E06000020,Telford and Wrekin,894,Placement Reason,Off-site placement for behavioural support,Work based placement,27
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000014,Haringey,309,Placement Reason,Other,Education setting with URN,3
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000041,Wokingham,872,Placement Reason,Medical condition (mental health need),Work based placement,1
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000026,Redbridge,317,Placement Reason,Off-site placement for behavioural support,Other unregistered provider,1
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E10000031,Warwickshire,937,Placement Reason,Other,One on one tuition,1
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E06000019,"Herefordshire, County of",884,Placement Reason,Medical condition (mental health need),Education setting with URN,14
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000014,Sefton,343,Placement Reason,Other,Work based placement,8
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,Placement Reason,Medical condition (physical health need),Education setting with URN,2
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E06000032,Luton,821,Placement Reason,Off-site placement for behavioural support,Other unregistered provider,30
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000061,North Northamptonshire,940,Placement Reason,Off-site placement for behavioural support,Other unregistered provider,11
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E06000033,Southend-on-Sea,882,Placement Reason,Off-site placement for behavioural support,Work based placement,3
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000062,West Northamptonshire,941,Placement Reason,Medical condition (physical health need),Registered provider with UKPRN,1
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000058,"Bournemouth, Christchurch and Poole",839,Placement Reason,Other,Other unregistered provider,14
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000028,Sandwell,333,Placement Reason,Off-site placement for behavioural support,Registered provider with UKPRN,26
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000007,Derbyshire,830,Placement Reason,Other,Education setting with URN,23
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000028,Sandwell,333,Placement Reason,Medical condition (mental health need),Registered provider with UKPRN,3
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000036,Wakefield,384,Placement Reason,Off-site placement for behavioural support,One on one tuition,1
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000008,Tameside,357,Placement Reason,Medical condition (physical health need),Education setting with URN,1
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000031,Waltham Forest,320,Placement Reason,Medical condition (mental health need),Education setting with URN,10
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000062,West Northamptonshire,941,Placement Reason,Medical condition (physical health need),Other unregistered provider,2
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000030,Tower Hamlets,211,Placement Reason,Medical condition (mental health need),Registered provider with UKPRN,1
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000060,Buckinghamshire,825,Placement Reason,Other,One on one tuition,3
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000023,"Bristol, City of",801,Placement Reason,Medical condition (mental health need),One on one tuition,7
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000007,Camden,202,Placement Reason,Medical condition (mental health need),Education setting with URN,11
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E06000031,Peterborough,874,Placement Reason,Medical condition (mental health need),Education setting with URN,4
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000011,Knowsley,340,Placement Reason,Other,Education setting with URN,3
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E10000014,Hampshire,850,Placement Reason,Medical condition (physical health need),Education setting with URN,1
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000035,Medway,887,Placement Reason,Off-site placement for behavioural support,Education setting with URN,27
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000017,Doncaster,371,Placement Reason,Off-site placement for behavioural support,One on one tuition,10
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000007,Derbyshire,830,Placement Reason,Medical condition (mental health need),Work based placement,2
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E06000056,Central Bedfordshire,823,Placement Reason,Medical condition (physical health need),One on one tuition,2
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E06000057,Northumberland,929,Placement Reason,Other,Registered provider with UKPRN,7
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,Placement Reason,Off-site placement for behavioural support,Other unregistered provider,7
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000007,Stockport,356,Placement Reason,Medical condition (physical health need),Registered provider with UKPRN,1
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E10000032,West Sussex,938,Placement Reason,Other,Other unregistered provider,13
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000002,Bury,351,Placement Reason,Off-site placement for behavioural support,Work based placement,4
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E06000049,Cheshire East,895,Placement Reason,Other,Other unregistered provider,2
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000005,Rochdale,354,Placement Reason,Other,Registered provider with UKPRN,2
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Placement Reason,Medical condition (physical health need),Other unregistered provider,1
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,811,Placement Reason,Medical condition (physical health need),One on one tuition,2
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000012,Liverpool,341,Placement Reason,Other,Registered provider with UKPRN,3
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,391,Placement Reason,Other,One on one tuition,15
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E06000019,"Herefordshire, County of",884,Placement Reason,Off-site placement for behavioural support,Other unregistered provider,22
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000015,Wirral,344,Placement Reason,Medical condition (mental health need),One on one tuition,6
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000004,Bexley,303,Placement Reason,Medical condition (mental health need),Other unregistered provider,3
